origen_id,origen_zona,destino_id,destino_zona,distancia_km,duracion_normal_min,duracion_hora_punta_min,duracion_hora_valle_min,ingreso_viaje_usd
42,Central Harlem North,144,Little Italy/NoLiTa,15.476,37.1,46.4,31.0,62.76
42,Central Harlem North,148,Lower East Side,15.175,36.4,45.5,30.4,61.65
42,Central Harlem North,151,Manhattan Valley,4.564,11.0,13.7,9.1,22.39
42,Central Harlem North,152,Manhattanville,1.141,2.7,3.4,2.3,9.72
42,Central Harlem North,153,Marble Hill,8.921,21.4,26.8,17.8,38.51
42,Central Harlem North,158,Meatpacking/West Village West,14.954,35.9,44.9,29.9,60.83
42,Central Harlem North,161,Midtown Center,9.759,23.4,29.3,19.5,41.61
42,Central Harlem North,162,Midtown East,9.45,22.7,28.3,18.9,40.46
42,Central Harlem North,163,Midtown North,9.047,21.7,27.1,18.1,38.97
42,Central Harlem North,164,Midtown South,11.433,27.4,34.3,22.9,47.8
42,Central Harlem North,166,Morningside Heights,2.757,6.6,8.3,5.5,15.7
42,Central Harlem North,170,Murray Hill,10.955,26.3,32.9,21.9,46.03
42,Central Harlem North,186,Penn Station/Madison Sq West,12.063,29.0,36.2,24.1,50.13
42,Central Harlem North,194,Randalls Island,4.41,10.6,13.2,8.8,21.82
42,Central Harlem North,202,Roosevelt Island,6.965,16.7,20.9,13.9,31.27
42,Central Harlem North,209,Seaport,17.349,41.6,52.0,34.7,69.69
42,Central Harlem North,211,SoHo,15.541,37.3,46.6,31.1,63.0
42,Central Harlem North,224,Stuy Town/Peter Cooper Village,12.54,30.1,37.6,25.1,51.9
42,Central Harlem North,229,Sutton Place/Turtle Bay North,8.83,21.2,26.5,17.7,38.17
42,Central Harlem North,230,Times Sq/Theatre District,10.118,24.3,30.4,20.2,42.94
42,Central Harlem North,231,TriBeCa/Civic Center,16.754,40.2,50.3,33.5,67.49
42,Central Harlem North,232,Two Bridges/Seward Park,14.964,35.9,44.9,29.9,60.87
42,Central Harlem North,233,UN/Turtle Bay South,10.03,24.1,30.1,20.1,42.61
42,Central Harlem North,234,Union Sq,12.79,30.7,38.4,25.6,52.82
42,Central Harlem North,236,Upper East Side North,5.534,13.3,16.6,11.1,25.98
42,Central Harlem North,237,Upper East Side South,7.568,18.2,22.7,15.1,33.5
42,Central Harlem North,238,Upper West Side North,5.667,13.6,17.0,11.3,26.47
42,Central Harlem North,239,Upper West Side South,6.994,16.8,21.0,14.0,31.38
42,Central Harlem North,243,Washington Heights North,4.938,11.9,14.8,9.9,23.77
42,Central Harlem North,244,Washington Heights South,2.687,6.4,8.1,5.4,15.44
42,Central Harlem North,246,West Chelsea/Hudson Yards,12.524,30.1,37.6,25.0,51.84
42,Central Harlem North,249,West Village,14.483,34.8,43.4,29.0,59.09
42,Central Harlem North,261,World Trade Center,18.141,43.5,54.4,36.3,72.62
42,Central Harlem North,262,Yorkville East,5.132,12.3,15.4,10.3,24.49
42,Central Harlem North,263,Yorkville West,5.205,12.5,15.6,10.4,24.76
43,Central Park,4,Alphabet City,7.417,17.8,22.3,14.8,32.94
43,Central Park,12,Battery Park,12.998,31.2,39.0,26.0,53.59
43,Central Park,13,Battery Park City,12.044,28.9,36.1,24.1,50.06
43,Central Park,24,Bloomingdale,2.183,5.2,6.5,4.4,13.58
43,Central Park,41,Central Harlem,3.615,8.7,10.8,7.2,18.88
43,Central Park,42,Central Harlem North,6.04,14.5,18.1,12.1,27.85
43,Central Park,43,Central Park,0.0,0.0,0.0,0.0,5.5
43,Central Park,45,Chinatown,10.466,25.1,31.4,20.9,44.22
43,Central Park,48,Clinton East,4.293,10.3,12.9,8.6,21.38
43,Central Park,50,Clinton West,4.307,10.3,12.9,8.6,21.44
43,Central Park,68,East Chelsea,6.67,16.0,20.0,13.3,30.18
43,Central Park,74,East Harlem North,4.459,10.7,13.4,8.9,22.0
43,Central Park,75,East Harlem South,2.517,6.0,7.6,5.0,14.81
43,Central Park,79,East Village,7.759,18.6,23.3,15.5,34.21
43,Central Park,87,Financial District North,11.885,28.5,35.7,23.8,49.47
43,Central Park,88,Financial District South,12.607,30.3,37.8,25.2,52.14
43,Central Park,90,Flatiron,7.093,17.0,21.3,14.2,31.74
43,Central Park,100,Garment District,5.161,12.4,15.5,10.3,24.6
43,Central Park,103,Governor's Island/Ellis Island/Liberty Island,16.973,40.7,50.9,33.9,68.3
43,Central Park,107,Gramercy,6.588,15.8,19.8,13.2,29.88
43,Central Park,113,Greenwich Village North,7.93,19.0,23.8,15.9,34.84
43,Central Park,114,Greenwich Village South,8.657,20.8,26.0,17.3,37.53
43,Central Park,116,Hamilton Heights,6.339,15.2,19.0,12.7,28.95
43,Central Park,120,Highbridge Park,10.059,24.1,30.2,20.1,42.72
43,Central Park,125,Hudson Sq,9.746,23.4,29.2,19.5,41.56
43,Central Park,127,Inwood,13.115,31.5,39.3,26.2,54.03
43,Central Park,128,Inwood Hill Park,13.374,32.1,40.1,26.7,54.99
43,Central Park,137,Kips Bay,5.546,13.3,16.6,11.1,26.02
43,Central Park,140,Lenox Hill East,2.811,6.7,8.4,5.6,15.9
43,Central Park,141,Lenox Hill West,2.238,5.4,6.7,4.5,13.78
43,Central Park,142,Lincoln Square East,2.334,5.6,7.0,4.7,14.14
43,Central Park,143,Lincoln Square West,2.6,6.2,7.8,5.2,15.12
43,Central Park,144,Little Italy/NoLiTa,9.436,22.6,28.3,18.9,40.41
43,Central Park,148,Lower East Side,9.135,21.9,27.4,18.3,39.3
43,Central Park,151,Manhattan Valley,1.957,4.7,5.9,3.9,12.74
43,Central Park,152,Manhattanville,4.899,11.8,14.7,9.8,23.63
43,Central Park,153,Marble Hill,14.961,35.9,44.9,29.9,60.86
43,Central Park,158,Meatpacking/West Village West,8.914,21.4,26.7,17.8,38.48
43,Central Park,161,Midtown Center,3.719,8.9,11.2,7.4,19.26
43,Central Park,162,Midtown East,3.41,8.2,10.2,6.8,18.12
43,Central Park,163,Midtown North,3.007,7.2,9.0,6.0,16.62
43,Central Park,164,Midtown South,5.393,12.9,16.2,10.8,25.45
43,Central Park,166,Morningside Heights,3.283,7.9,9.8,6.6,17.65
43,Central Park,170,Murray Hill,4.915,11.8,14.7,9.8,23.69
43,Central Park,186,Penn Station/Madison Sq West,6.023,14.5,18.1,12.0,27.79
43,Central Park,194,Randalls Island,4.432,10.6,13.3,8.9,21.9
43,Central Park,202,Roosevelt Island,3.613,8.7,10.8,7.2,18.87
43,Central Park,209,Seaport,11.309,27.1,33.9,22.6,47.34
43,Central Park,211,SoHo,9.501,22.8,28.5,19.0,40.65
43,Central Park,224,Stuy Town/Peter Cooper Village,6.5,15.6,19.5,13.0,29.55
43,Central Park,229,Sutton Place/Turtle Bay North,2.926,7.0,8.8,5.9,16.33
43,Central Park,230,Times Sq/Theatre District,4.078,9.8,12.2,8.2,20.59
43,Central Park,231,TriBeCa/Civic Center,10.714,25.7,32.1,21.4,45.14
43,Central Park,232,Two Bridges/Seward Park,8.924,21.4,26.8,17.8,38.52
43,Central Park,233,UN/Turtle Bay South,3.99,9.6,12.0,8.0,20.26
43,Central Park,234,Union Sq,6.75,16.2,20.2,13.5,30.47
43,Central Park,236,Upper East Side North,0.942,2.3,2.8,1.9,8.98
43,Central Park,237,Upper East Side South,1.55,3.7,4.7,3.1,11.24
43,Central Park,238,Upper West Side North,1.661,4.0,5.0,3.3,11.65
43,Central Park,239,Upper West Side South,1.257,3.0,3.8,2.5,10.15
43,Central Park,243,Washington Heights North,10.978,26.3,32.9,22.0,46.12
43,Central Park,244,Washington Heights South,8.558,20.5,25.7,17.1,37.17
43,Central Park,246,West Chelsea/Hudson Yards,6.484,15.6,19.5,13.0,29.49
43,Central Park,249,West Village,8.442,20.3,25.3,16.9,36.74
43,Central Park,261,World Trade Center,12.101,29.0,36.3,24.2,50.27
43,Central Park,262,Yorkville East,2.323,5.6,7.0,4.6,14.1
43,Central Park,263,Yorkville West,1.63,3.9,4.9,3.3,11.53
45,Chinatown,4,Alphabet City,3.049,7.3,9.1,6.1,16.78
45,Chinatown,12,Battery Park,2.532,6.1,7.6,5.1,14.87
45,Chinatown,13,Battery Park City,1.578,3.8,4.7,3.2,11.34
45,Chinatown,24,Bloomingdale,12.611,30.3,37.8,25.2,52.16
